 Empresa Sector Actividad "Inversión promovida (US$)" Fecha
211 "ANCASUD S.A." SERV. "Rentadora de vehículos." 1192462 2019-06-01
212 "CHIC PARISIEN S.A." COM. "Comercio al por menor de productos textiles, prendas de vestir, calzado y artículos de cuero en almacenes especializados." 10393888 2019-06-01
213 "GOLON S.R.L." SERV. "Alquiler de canchas de fútbol." 446163 2019-06-01
214 "INDUTOP S.A." COM. "Compraventa e importación de prendas de vestir y calzado." 2055595 2019-06-01
215 "SURAGRIC S.A." COM. "Comercio al por mayor de maquinaria, equipo agrícola y sus suministros." 812041 2019-06-01
216 "EBITAL S.A." SERV. "Empresa constructora." 2412018 2019-06-01
217 "AGROFUTURO S.A." AGRO. "Producción y comercialización de semillas y afines." 108650 2019-06-01
218 "GENTOS URUGUAY S.A." AGRO. "Importación, investigación, desarrollo, producción y comercialización de semillas y afines." 1044434 2019-06-01
219 "CAMPOSOL S.A." AGRO. "Cultivo de frutas cítricas." 12395533 2019-06-01
220 "PARAJE ACUARIO S.A." AGRO. "Explotación agropecuaria." 571448 2019-06-01
221 "VELSEMAR S.A." AGRO. "Explotación agropecuaria." 223389 2019-06-01
222 "GUTIERREZ GARD MARIA JOSEFINA" AGRO. "Cría de otros animales NCP." 89740 2019-06-01
223 "LETINAGRO S.R.L." AGRO. "Servicios de apoyo a la agricultura." 1186162 2019-06-01
224 "BALUMA S.A." TUR. "Hotel y casino." 932035 2019-06-01
225 "VACELCO S.A." IND. "Fabricación de muebles de madera." 43784 2019-06-01
226 "M.P. PACK S.A." IND. "Fábrica de papel, cartón y envases de papel y cartón." 421815 2019-06-01
227 "BANCO SANTANDER S.A." SERV. "Intermediación financiera." 1666066 2019-06-01
228 "TRALI  S.A." SERV. "Transporte de carga por carretera." 1055280 2019-06-01
229 "MERELEC S.A." COM. "Comercio por mayor de artículos de ferretería y calefacción." 44843 2019-06-01
230 "PEPEGANGA S.A." COM. "Comercio al por mayor de productos de cristalería y menage." 947132 2019-06-01
231 "PONTYN S.A." COM. "Comercio al por mayor de comestibles, excepto carnes." 728635 2019-06-01
232 "JUGOS DEL URUGUAY S.A." IND. "Elaboración de bebidas sin alcohol." 346500 2019-06-01
234 "NEKIL S.A." COM. "Comercio por menor de prendas de vestir no especificadas." 188273 2019-07-01
235 "NAFECOR S.A." COM. "Importador y distribuidor de productos médicos y servicio técnico." 65877 2019-07-01
236 "DORNAX S.A." SERV. "Servicios de ingeniería." 169258 2019-07-01
237 "VISION SATELITAL S.A." SERV. "Programación y actividades de transmisión de televisión." 3200455 2019-07-01
238 "BERSABEL S.A." SERV. "Programación y actividades de transmisión de televisión." 14534110 2019-07-01
239 "CHARBONNIER GONZALO" AGRO. "Explotación agrícola ganadera." 1314209 2019-07-01
240 "UMEDIA S.A." COM. "Restaurante y parrillada." 1226640 2019-07-01
241 "CASA BLANCA IMPEX" COM. "Comercio al por menor realizado por Free Shop." 975934 2019-07-01
242 "GRUPO TAU LTDA." SERV. "Servicios de ingeniería." 339232 2019-07-01
243 "RIO GOLF S.A." COM. "Comercio por menor materiales eléctricos / Construcción de infraestructura de transporte." 217340 2019-07-01
244 "URUFOR S.A." IND. "Industrialización de maderos cultivadas de calidad." 1047460 2019-07-01
245 "CYBE S.A." IND. Zapatería. 632377 2019-07-01
246 "GRUPO IDEAS DISTRIBUCION S.R.L." IND. "Distribución y ventas al por mayor de productos alimenticios." 39344 2019-07-01
247 "GAMA LTDA." IND. "Fabricación de productos de plástico moldeado." 176774 2019-07-01
248 "BRINSUD S.A." AGRO. "Cría de aves de corral para su venta." 1607007 2019-07-01
249 "OROSER S.A." COM. "Comercio al por menor de supermecados." 581137 2019-07-01
250 "GIBEROL S.A." SERV. "Construcción y servicios de arquitectura." 190843 2019-07-01
251 "RICA CONSULTORES S.R.L." SERV. "Otros servicios contables." 153659 2019-07-01
252 "ROBERTO JORGE CANESSA URTA" SERV. "Clínicas médicas, excepto de estética corporal." 278625 2019-07-01
253 "UNISERV S.A." SERV. "Mantenimiento radio base (Telecomunicaciones)." 154127 2019-07-01
254 "ADISER S.A." SERV. "Elaboración y venta de comidas rápidas." 833573 2019-07-01
255 "ARCOS DORADOS URUGUAY S.A." COM. Restaurante. 1859045 2019-07-01
256 "ARTVIX S.A." SERV. "Servicios de arquitectura." 115187 2019-07-01
257 "LABORATORIO CLAUSEN S.A." IND. "Fabricación y venta de especialidades farmacéuticas." 291921 2019-07-01
258 "FERNANDEZ ACUÑA CLAUDIO ALEJANDRO" IND. "Elaboración de pan, productos panificados en forma tradicional." 55117 2019-07-01
259 "CATERING GOURMET S.R.L." IND. "Elaboración de comidas." 81932 2019-07-01
260 "JOYSON SAFETY SISTEMS S.A." IND. "Industria de autopartes." 5564203 2019-07-01
261 "MADEBAR S.A." IND. "Procesamiento y conservación de frutas y vegetales, elaboración de aceites." 293400 2019-07-01
262 "ALTERNATIVE LTDA." IND. "Fabricación estufas a leña." 78500 2019-07-01
263 "FIDEICOMISO 41520/2016" SERV. Construcción. 25613191 2019-07-01
264 "MERCADO LATERAL S.R.L." COM. "Restaurante y parrillada." 148345 2019-07-01
265 "BILCOLUZ S.A." TUR. Hotel. 17844 2019-07-01
